Load time for (selenium)Home screen:37.129second
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.108 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.108 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734205396538E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.883 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.883 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.883 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.883 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734205473329E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.069 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.069 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734205483184E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.882 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.882 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.882 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.882 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734205847748E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.371 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.371 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734205857955E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.874 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.874 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.874 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.874 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/181/invoicing | Load Time: 0.874 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/181/invoicing | Load Time: 0.874 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734206004252E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 5.712 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 5.712 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734206015201E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.915 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.915 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.915 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.915 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/183/invoicing | Load Time: 0.915 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/183/invoicing | Load Time: 0.915 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.915 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.73420610112E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.085 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.085 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: -1.734206110716E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: 0.788 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: 0.915 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: 0.915 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: 0.788 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734206231152E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 3.797 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 3.797 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: -1.734206239922E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: 0.695 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: 0.695 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/list | Load Time: 0.695 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/new/basic_details | Load Time: 0.695 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/184/invoicing | Load Time: 0.695 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/184/invoicing | Load Time: 0.695 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/184/address_included | Load Time: 0.695 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/184/address_included | Load Time: 0.695 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.73420648395E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 3.718 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 3.718 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: -1.734206492675E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: 0.755 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: 0.755 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/list | Load Time: 0.755 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/new/basic_details | Load Time: 0.755 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/185/invoicing | Load Time: 0.755 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/185/invoicing | Load Time: 0.755 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/185/address_included | Load Time: 0.755 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/185/address_included | Load Time: 0.755 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734206648051E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 3.797 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 3.797 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: -1.734206657044E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: 0.68 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: 0.68 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/list | Load Time: 0.68 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/new/basic_details | Load Time: 0.68 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/186/invoicing | Load Time: 0.68 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/186/invoicing | Load Time: 0.68 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/186/address_included | Load Time: 0.68 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/186/address_included | Load Time: 0.68 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/186/asset_ppm_services | Load Time: 0.68 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/186/asset_ppm_services | Load Time: 0.68 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734206804708E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.068 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.068 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: -1.73420681424E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: 0.668 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/view_v2/property/view | Load Time: 0.668 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10041/customer_contracts/list | Load Time: 0.668 seconds
